,subnational1_code,how_many,snow_dep_atleast,Date,snow_dep_categorical_label,subnational1_code_label,how_many_bins
8294,US-OH,5,0.0,2020-11-17,Sunny,48,0 - 10
14985,US-KS,2,0.0,2021-03-10,Sunny,29,0 - 10
2424,CA-BC,16,0.0,2020-11-16,Sunny,1,11 - 20
15594,US-MA,12,0.0,2020-11-14,Sunny,32,11 - 20
12887,US-MN,2,0.0,2020-11-19,Sunny,36,0 - 10
7837,US-PA,1,0.0,2020-11-21,Sunny,51,0 - 10
14866,US-MA,3,0.0,2021-03-15,Sunny,32,0 - 10
8851,US-WA,2,15.001,2020-11-14,Snow Storm,60,0 - 10
12781,US-MO,5,0.0,2020-11-15,Sunny,37,0 - 10
5206,US-AZ,3,0.0,2020-11-14,Sunny,16,0 - 10
5581,US-FL,2,0.0,2020-11-15,Sunny,22,0 - 10
11882,US-WA,3,0.0,2020-11-14,Sunny,60,0 - 10
13352,US-WA,6,0.0,2020-11-24,Sunny,60,0 - 10
3230,US-CA,8,0.0,2020-11-15,Sunny,17,0 - 10
9240,US-VA,2,0.0,2020-11-14,Sunny,58,0 - 10
2392,CA-ON,2,5.0,2020-12-01,Snow,7,0 - 10
10480,US-MN,1,5.0,2021-01-02,Snow,36,0 - 10
612,CA-ON,4,0.0,2021-03-22,Sunny,7,0 - 10
7733,US-IL,2,0.0,2020-11-14,Sunny,27,0 - 10
13386,US-ID,2,0.0,2020-11-26,Sunny,26,0 - 10
14163,US-TX,2,0.0,2021-01-02,Sunny,56,0 - 10
1536,CA-ON,3,0.0,2020-11-14,Sunny,7,0 - 10
1677,CA-BC,3,5.0,2020-11-15,Snow,1,0 - 10
12302,US-IA,2,0.0,2020-11-16,Sunny,25,0 - 10
5173,US-OH,1,0.0,2020-11-16,Sunny,48,0 - 10
4120,US-CA,8,0.0,2020-11-16,Sunny,17,0 - 10
7592,US-TN,1,0.0,2020-11-14,Sunny,55,0 - 10
5487,US-PA,2,0.0,2020-11-15,Sunny,51,0 - 10
11251,US-WA,5,0.0,2020-11-14,Sunny,60,0 - 10
4306,US-NY,7,0.0,2020-11-14,Sunny,47,0 - 10
5532,US-PA,5,0.0,2020-12-26,Sunny,51,0 - 10
10924,US-MI,2,0.0,2020-11-14,Sunny,35,0 - 10
14892,US-SC,1,0.0,2021-02-11,Sunny,53,0 - 10
4370,US-NJ,1,0.0,2020-11-14,Sunny,44,0 - 10
1784,CA-QC,2,15.001,2021-02-03,Snow Storm,9,0 - 10
8628,US-WI,4,0.0,2020-11-17,Sunny,61,0 - 10
14416,US-ME,1,5.0,2021-01-02,Snow,34,0 - 10
10632,US-MO,2,0.0,2020-11-15,Sunny,37,0 - 10
12135,US-MD,1,0.0,2020-11-27,Sunny,33,0 - 10
2380,CA-ON,1,0.0,2020-11-14,Sunny,7,0 - 10
13285,US-NY,1,0.0,2020-11-16,Sunny,47,0 - 10
1399,CA-QC,1,0.0,2020-11-15,Sunny,9,0 - 10
11829,US-NJ,1,0.0,2020-11-17,Sunny,44,0 - 10
7182,US-WI,2,5.0,2020-11-14,Snow,61,0 - 10
3732,US-NY,1,0.0,2020-11-14,Sunny,47,0 - 10
2453,CA-NS,2,0.0,2021-03-31,Sunny,5,0 - 10
7871,US-PA,1,0.0,2020-11-15,Sunny,51,0 - 10
1082,CA-ON,1,0.0,2020-11-14,Sunny,7,0 - 10
2057,CA-ON,2,0.0,2020-11-14,Sunny,7,0 - 10
10428,US-MN,1,5.0,2020-12-27,Snow,36,0 - 10
4801,US-CA,19,0.0,2020-11-17,Sunny,17,11 - 20
6766,US-OR,5,0.0,2020-11-15,Sunny,50,0 - 10
7746,US-VA,2,0.0,2020-11-17,Sunny,58,0 - 10
12337,US-WA,2,0.0,2020-11-16,Sunny,60,0 - 10
9782,US-VA,2,0.0,2020-12-31,Sunny,58,0 - 10
10401,US-NY,3,0.0,2020-11-14,Sunny,47,0 - 10
4254,US-FL,7,0.0,2021-01-30,Sunny,22,0 - 10
15585,US-MA,38,0.0,2020-11-19,Sunny,32,31 - 40
9967,US-PA,1,0.0,2020-11-24,Sunny,51,0 - 10
7471,US-NM,1,0.0,2020-11-16,Sunny,45,0 - 10
14596,US-VA,2,0.0,2021-02-14,Sunny,58,0 - 10
7447,US-RI,1,0.0,2020-11-14,Sunny,52,0 - 10
10355,US-CT,2,0.0,2020-11-18,Sunny,19,0 - 10
5849,US-IN,1,0.0,2020-11-19,Sunny,28,0 - 10
4497,US-OH,1,0.0,2020-12-09,Sunny,48,0 - 10
2389,CA-BC,2,5.0,2020-11-14,Snow,1,0 - 10
1738,CA-ON,3,0.0,2021-01-12,Sunny,7,0 - 10
2448,CA-ON,2,0.0,2020-11-15,Sunny,7,0 - 10
8538,US-NJ,2,0.0,2020-11-17,Sunny,44,0 - 10
1883,CA-QC,1,0.0,2020-11-14,Sunny,9,0 - 10
8063,US-AL,2,0.0,2020-12-05,Sunny,14,0 - 10
8071,US-MI,4,0.0,2020-11-27,Sunny,35,0 - 10
9261,US-KY,4,0.0,2020-11-14,Sunny,30,0 - 10
4251,US-TX,8,0.0,2021-04-23,Sunny,56,0 - 10
10466,US-CA,10,0.001,2020-11-20,Sunny,17,0 - 10
15395,US-TN,1,0.0,2020-11-14,Sunny,55,0 - 10
3889,US-IA,5,0.0,2020-11-16,Sunny,25,0 - 10
2744,CA-ON,6,0.0,2020-11-15,Sunny,7,0 - 10
9200,US-VA,2,0.0,2020-11-14,Sunny,58,0 - 10
352,CA-ON,3,0.0,2020-11-14,Sunny,7,0 - 10
1918,CA-ON,8,0.0,2020-11-14,Sunny,7,0 - 10
1188,CA-ON,6,0.0,2020-11-14,Sunny,7,0 - 10
6581,US-KY,3,0.0,2020-11-14,Sunny,30,0 - 10
12070,US-CT,1,0.0,2020-11-17,Sunny,19,0 - 10
10663,US-CA,16,0.0,2020-11-15,Sunny,17,11 - 20
2723,CA-ON,1,0.0,2020-11-18,Sunny,7,0 - 10
4279,US-PA,1,0.0,2020-12-04,Sunny,51,0 - 10
13358,US-MT,5,0.0,2020-11-18,Sunny,39,0 - 10
5118,US-CA,1,0.0,2020-11-14,Sunny,17,0 - 10
15106,US-IN,1,0.0,2021-03-01,Sunny,28,0 - 10
7078,US-CA,8,0.0,2020-11-16,Sunny,17,0 - 10
8866,US-TX,5,0.0,2020-12-21,Sunny,56,0 - 10
9769,US-TN,1,0.0,2020-12-12,Sunny,55,0 - 10
3026,US-MD,10,0.0,2020-11-23,Sunny,33,0 - 10
12299,US-NY,2,0.0,2020-11-15,Sunny,47,0 - 10
15662,US-IL,1,0.0,2020-11-14,Sunny,27,0 - 10
5931,US-CO,2,0.0,2020-11-14,Sunny,18,0 - 10
6360,US-TX,1,0.0,2020-11-16,Sunny,56,0 - 10
13910,US-NM,2,0.0,2020-12-11,Sunny,45,0 - 10
4427,US-IN,1,0.0,2020-11-17,Sunny,28,0 - 10
